Date,Open,High,Low,Close,Volume,Adj Close
8/13/2012,67.6,67.65,67,67.6,832100,55.979
8/10/2012,67.05,67.6,67,67.3,1725200,55.73
8/9/2012,67,67.5,66.85,67.45,2153100,55.855
8/8/2012,67.2,67.4,66.7,66.9,2135100,55.399
8/7/2012,67.3,67.3,66.85,67.25,1925400,55.689
8/6/2012,67.25,67.25,66.7,66.9,1847600,55.399
8/3/2012,66.4,66.95,66.4,66.85,1189300,55.358
8/2/2012,67.15,67.2,66.75,66.8,1756600,55.316
8/1/2012,66.25,67.2,66.25,66.85,1966300,55.358
7/31/2012,66.55,67.15,66.5,67,3254700,55.482
7/30/2012,65.85,66.95,65.7,66.9,3233900,55.399
7/27/2012,65.3,65.85,64.85,65.75,1644100,54.447
7/26/2012,64.6,65.2,64.45,65,2433600,53.826
7/25/2012,64.5,65.1,64.5,64.85,1912400,53.702
7/24/2012,65.25,65.55,64.8,64.85,1094000,53.702
7/23/2012,65.2,65.7,64.9,65.1,1965500,53.909
7/20/2012,65.8,65.9,65.15,65.8,2562700,54.488
7/19/2012,66,66.25,65.7,66,2062900,54.654
7/18/2012,65,65.7,65,65.25,1528000,54.033
7/17/2012,64.85,65.5,64.8,65.4,2761000,54.157
7/16/2012,64.9,64.95,64.4,64.45,1696600,53.37
7/13/2012,65.15,65.15,64.8,64.85,1655900,53.702
7/12/2012,65.25,65.25,64.65,64.75,1649200,53.619
7/11/2012,65,65.8,64.8,65,4212200,53.826
7/10/2012,67,67,65.35,65.45,3577300,54.198
7/9/2012,67.5,67.5,66.6,67.2,2489200,55.648
7/6/2012,67.4,67.6,67,67.5,2384700,55.896
7/5/2012,66.5,67.35,66.15,67.3,2849000,55.73
7/4/2012,66.8,66.8,66.2,66.45,1126200,55.027
7/3/2012,65.4,66.55,65.35,66.45,2071600,55.027
7/2/2012,65.75,65.75,65.75,65.75,0,54.447
6/29/2012,65.15,65.95,65,65.75,3953600,54.447
6/28/2012,65.3,65.5,64.8,64.95,2368600,53.784
6/27/2012,64.6,65.3,64.6,65.25,1435900,54.033
6/26/2012,65,65.2,64.75,64.9,2138000,53.743
6/25/2012,64.45,64.7,64.2,64.65,1271900,53.536
6/22/2012,64.3,65,64.3,64.45,1078200,53.37
6/21/2012,65,65,64.5,64.65,1909300,53.536
6/20/2012,65.3,65.3,64.75,65,1530900,53.826
6/19/2012,64.9,65,64.5,64.9,1977100,53.743
6/18/2012,64.4,64.55,64,64.35,1962800,53.288
6/15/2012,63.2,64.05,63.15,63.95,3012100,52.956
6/14/2012,63.65,63.75,63.1,63.2,2039800,52.335
6/13/2012,63.5,63.9,63.2,63.6,1502600,52.666
6/12/2012,63.75,63.8,63.2,63.45,1911500,52.542
6/11/2012,63.8,63.8,63,63.65,1929800,52.708
6/8/2012,63.3,63.5,62.75,62.85,3001800,52.045
6/7/2012,63.9,63.9,63.15,63.8,2345200,52.832
6/6/2012,63.55,63.8,63.05,63.65,1922700,52.708
6/5/2012,63.6,63.6,62.8,63.2,1907400,52.335
6/4/2012,63.2,63.75,62.5,63.6,3119200,52.666
6/1/2012,63,63.85,62.9,63.75,5417900,52.352
5/31/2012,63.2,63.95,62.7,63.2,11718000,51.9
5/30/2012,63.65,63.9,63,63.05,4913300,51.777
5/29/2012,63.8,63.95,63.5,63.85,2464100,52.434
5/28/2012,63.6,64.35,63.5,63.8,1797600,52.393
5/25/2012,64.55,64.55,63.55,63.9,2523500,52.475
5/24/2012,64.2,64.35,63.75,64.15,1931200,52.68
5/23/2012,63.85,64.05,63.15,63.85,2739100,52.434
5/22/2012,64.1,64.6,63.9,64.05,2182800,52.598
5/21/2012,64.5,64.6,63.75,63.85,1886200,52.434
5/18/2012,63.2,64.35,63,64.3,3516300,52.803
5/17/2012,65.2,65.25,63.5,63.65,3685900,52.27
5/16/2012,64.85,65,63.9,63.95,5699700,52.516
5/15/2012,64.85,65.6,64.55,65.2,1659500,53.543
5/14/2012,65.7,65.7,64.6,64.85,1960200,53.255
5/11/2012,65.9,66,65.4,65.55,2575800,53.83
5/10/2012,66.35,66.9,65.55,65.7,3047000,53.953
5/9/2012,66,66.5,65.85,65.9,2254300,54.117
5/8/2012,66.3,66.45,66,66.3,1969200,54.446
5/7/2012,66.35,67.05,65.9,66,2365200,54.2
5/4/2012,67.2,67.35,66.75,66.9,1013700,54.939
5/3/2012,67.15,67.35,66.6,66.85,1690700,54.898
5/2/2012,66.95,67.35,66.75,67.15,2460300,55.144
5/1/2012,66.45,66.45,66.45,66.45,0,54.569
4/30/2012,66.3,66.85,65.95,66.45,1754300,54.569
4/27/2012,67,67,66,66.05,2523700,54.241
4/26/2012,65.9,66.4,65.9,66.2,751600,54.364
4/25/2012,66.6,66.6,65.85,65.9,1056600,54.117
4/24/2012,66.3,66.75,65.85,66.25,1084800,54.405
